_unit_id,says,score,name,gender,gender:confidence,cluster,fine_cluster,cluster_human_rate,distance_to_centre,also_by_rules
815728448,non_human,0.956,Marco41237622,male,0.6665,2,4,0.044,4.58,0
815727017,non_human,0.956,4f8e24939bf9431,female,1.0,2,4,0.044,4.67,0
815725462,non_human,0.956,Sameer32160106,male,1.0,2,4,0.044,4.72,0
815728361,non_human,0.956,Derrick79588764,male,1.0,2,4,0.044,4.83,0
815736686,non_human,0.956,Marieno33472165,female,1.0,2,4,0.044,4.89,0
815736819,non_human,0.956,lindamo12895437,female,0.6659,2,4,0.044,4.95,1
815732551,non_human,0.956,LauraQu22469337,female,1.0,2,4,0.044,4.96,0
815721372,non_human,0.956,debbie18051978,female,0.6694,0,4,0.044,5.15,0
815721410,non_human,0.956,Mohamed80570137,male,1.0,2,4,0.044,5.34,0
815723154,non_human,0.956,BharatP95362736,female,0.6736,3,4,0.044,5.45,0
815727709,non_human,0.956,josh111222333_,male,1.0,2,4,0.044,5.53,0
815725078,non_human,0.956,AudreyS23511436,male,1.0,2,4,0.044,5.71,0
815719309,non_human,0.956,angie48534918,female,1.0,0,4,0.044,5.74,0
815731184,non_human,0.956,c82b5001896b4ae,male,1.0,2,4,0.044,5.83,0
815734396,non_human,0.956,4ad228e64de5481,male,1.0,2,4,0.044,6.52,0
815736883,non_human,0.956,2675a24c0441400,male,1.0,2,4,0.044,7.23,0
815728427,non_human,0.956,475a97b4b7714c5,female,1.0,2,4,0.044,7.37,0
815736722,human,0.917,sadwitches,brand,0.6456,3,7,0.917,1.36,0
815726719,human,0.917,Shutter_Lense,brand,0.3459,3,7,0.917,1.41,1
815723028,human,0.917,inthebarberry,brand,0.6526,0,7,0.917,1.44,1
815734286,human,0.917,Fatimahamoudi5,brand,0.6555,0,7,0.917,1.5,0
815730706,human,0.917,Full_Time_Scrub,brand,1.0,3,7,0.917,1.51,0
815724599,human,0.917,d_michaelsatele,brand,0.6333,0,7,0.917,1.52,1
815730622,human,0.917,insideccfc,brand,1.0,0,7,0.917,1.57,0
815731753,human,0.917,InRainesville,brand,0.6887,0,7,0.917,1.58,1
815732838,human,0.917,obsessed_boyban,brand,0.6745,3,7,0.917,1.6,1
815735329,human,0.917,xIamDeath,brand,0.665,0,7,0.917,1.64,0
815734913,human,0.917,squid_girl_,brand,0.6525,0,7,0.917,1.67,0
815722134,human,0.917,ArticBleu,brand,0.6743,3,7,0.917,1.73,0
815729409,human,0.917,monetpearson,brand,1.0,3,7,0.917,1.74,1
815735871,human,0.917,Doctorwhat2,brand,0.6743,3,7,0.917,1.77,1
815730174,human,0.917,Bengals_NEFL,brand,1.0,0,7,0.917,1.84,0
815732483,human,0.917,CliathAthaBaile,brand,0.6509,0,7,0.917,1.85,1
815724414,human,0.917,mike_brach,brand,0.6823,3,7,0.917,1.87,1
815739350,human,0.917,noonmohsharfi,brand,0.6585,0,7,0.917,1.87,1
815724237,human,0.917,wiml2,brand,1.0,3,7,0.917,1.89,0
815732901,human,0.917,SLightmaree,brand,0.6614,3,7,0.917,1.89,1
815731407,human,0.917,coyotekissesxo,brand,0.6556,0,7,0.917,1.9,0
815726253,human,0.917,Lucius_C_Sulla,brand,0.6636,0,7,0.917,1.91,0
815719906,human,0.917,TwistandSports,brand,1.0,0,7,0.917,1.94,1
815726135,human,0.917,smashb1,brand,0.6899,3,7,0.917,1.94,0
815724834,human,0.917,meekjr_,brand,0.6542,3,7,0.917,1.95,1
815731845,human,0.917,sugarspankhorn,brand,0.65,3,7,0.917,1.97,1
815737346,human,0.917,BlakeNextGen15,brand,1.0,0,7,0.917,1.97,0
815738070,human,0.917,StrikeFM,brand,1.0,3,7,0.917,1.97,1
815729024,human,0.917,MegaLobsterFace,brand,0.6487,3,7,0.917,1.98,0
815736374,human,0.917,AkraticBehavior,brand,0.6818,0,7,0.917,1.98,1
815727535,human,0.917,ottawaclique,brand,0.3396,0,7,0.917,2.0,0
815738488,human,0.917,senzeal,brand,1.0,0,7,0.917,2.0,0
815732647,human,0.917,icanttt,brand,0.6835,0,7,0.917,2.01,1
815724051,human,0.917,bonfiresband,brand,0.6648,3,7,0.917,2.02,1
815723611,human,0.917,vitalninjaYT,brand,0.6734,0,7,0.917,2.04,1
815720725,human,0.917,partmentalsoul,brand,0.6741,0,7,0.917,2.05,0
815737513,human,0.917,coyotes_ebooks,brand,0.6839,3,7,0.917,2.05,0
815720822,human,0.917,WorcsFaithful,brand,0.6621,0,7,0.917,2.07,0
815722300,human,0.917,RC_Allaince,brand,1.0,0,7,0.917,2.07,0
815727324,human,0.917,MrmappyINOF,brand,0.6574,0,7,0.917,2.07,1
815736013,human,0.917,southstandnige9,brand,1.0,0,7,0.917,2.08,0
815730710,human,0.917,MaddieandTaeFly,brand,0.6921,0,7,0.917,2.09,1
815730130,human,0.917,worldrafanadal,brand,1.0,0,7,0.917,2.1,1
815733055,human,0.917,GYSTclub,brand,1.0,0,7,0.917,2.11,0
815732567,human,0.917,Thor_of_Asgard1,brand,1.0,0,7,0.917,2.12,1
815719699,human,0.917,inimba,brand,0.6404,3,7,0.917,2.13,1
815724819,human,0.917,Barokoru,brand,0.6879,3,7,0.917,2.14,1
815733468,human,0.917,StockExpert3,brand,1.0,0,7,0.917,2.14,1
815738456,human,0.917,Based1UP,brand,0.6516,0,7,0.917,2.14,1
815737490,human,0.917,themapdallas,brand,0.6688,0,7,0.917,2.15,0
815728081,human,0.917,The_Kohinoor,brand,0.6569,0,7,0.917,2.16,1
815735607,human,0.917,Porcelanosa_EN,brand,1.0,3,7,0.917,2.16,1
815731737,human,0.917,KLASManagement,brand,1.0,0,7,0.917,2.17,0
815733921,human,0.917,CottageOckman,brand,1.0,0,7,0.917,2.22,0
815730116,human,0.917,skywlka22,brand,0.6603,3,7,0.917,2.23,0
815732136,human,0.917,Dormality,brand,1.0,0,7,0.917,2.23,1
815733582,human,0.917,SportsNewsBTS,brand,1.0,0,7,0.917,2.23,0
815734827,human,0.917,triggzyy,brand,0.3408,3,7,0.917,2.23,1
815720768,human,0.917,COGICgopChica,brand,0.6774,3,7,0.917,2.24,1
815724798,human,0.917,BognorRegisHour,brand,1.0,3,7,0.917,2.24,1
815729261,human,0.917,theformalcat,brand,0.654,0,7,0.917,2.27,0
815721991,human,0.917,HadTwpSports,brand,1.0,0,7,0.917,2.28,0
815735005,human,0.917,EthanVei,brand,0.6683,0,7,0.917,2.28,0
815733966,human,0.917,mywaitisu,brand,0.3449,3,7,0.917,2.29,1
815734767,human,0.917,6ONE9CLOTHING,brand,1.0,0,7,0.917,2.29,1
815731133,human,0.917,NaughtyToyss,brand,1.0,3,7,0.917,2.31,0
815731666,human,0.917,ClarenGary,brand,0.6745,0,7,0.917,2.31,0
815722758,human,0.917,polwrestling,brand,0.3429,0,7,0.917,2.33,0
815735393,human,0.917,TENCH0U_,brand,0.6772,0,7,0.917,2.33,1
815736853,human,0.917,theARKHAM_,brand,0.6809,0,7,0.917,2.33,1
815721851,human,0.917,zAcquired,brand,0.6619,0,7,0.917,2.34,0
815729776,human,0.917,ssquala,brand,0.6669,3,7,0.917,2.35,0
815724186,human,0.917,macuskeli,brand,0.6635,0,7,0.917,2.36,0
815735968,human,0.917,PenguinBoss1,brand,1.0,0,7,0.917,2.36,0
815738361,human,0.917,Imreallyshitty,brand,0.676,0,7,0.917,2.38,1
815729681,human,0.917,TeamYouTube,brand,1.0,0,7,0.917,2.39,1
815724251,human,0.917,kamyb22,brand,0.3401,3,7,0.917,2.4,1
815737050,human,0.917,Travel_Barrel,brand,1.0,0,7,0.917,2.4,0
815727663,human,0.917,Brandonuts_Game,brand,1.0,0,7,0.917,2.42,0
815735123,human,0.917,Davidwash3r3,brand,0.6848,3,7,0.917,2.45,0
815730773,human,0.917,MoreFifaFun,brand,1.0,0,7,0.917,2.46,1
815735660,human,0.917,TheMartinParty,brand,1.0,0,7,0.917,2.46,0
815735689,human,0.917,Travel_Word,brand,1.0,0,7,0.917,2.46,0
815727824,human,0.917,Foothill_Dance,brand,1.0,0,7,0.917,2.48,1
815734559,human,0.917,LeAnnsFissure,brand,0.6749,0,7,0.917,2.49,0
815734621,human,0.917,treadcomics,brand,1.0,0,7,0.917,2.5,0
815737186,human,0.917,bonhomme37,brand,0.6584,3,7,0.917,2.5,1
815720486,human,0.917,_LHS_Leadership,brand,1.0,0,7,0.917,2.53,1
815737181,human,0.917,Valerie_832,brand,0.675,3,7,0.917,2.53,0
815732290,human,0.917,blazingbooks420,brand,0.6912,3,7,0.917,2.54,1
815732178,human,0.917,dariancordova,brand,0.6615,0,7,0.917,2.55,1
815733117,human,0.917,McTermii,brand,1.0,0,7,0.917,2.55,0
815735128,human,0.917,HaysheadNursery,brand,1.0,0,7,0.917,2.56,0
815734204,human,0.917,anytimetips,brand,1.0,0,7,0.917,2.6,1
815729279,human,0.917,DiversityIsALie,brand,1.0,0,7,0.917,2.62,1
815731718,human,0.917,AlmiiCuello,brand,0.314,0,7,0.917,2.63,1
815738009,human,0.917,Team_Christ77,brand,0.6916,0,7,0.917,2.65,0
815725166,human,0.917,lrhstereo,brand,0.6787,3,7,0.917,2.66,1
815732594,human,0.917,420USAPAC,brand,1.0,0,7,0.917,2.68,0
815735222,human,0.917,CasNovak305,brand,0.6766,0,7,0.917,2.7,0
815722272,human,0.917,FoComcfc,brand,1.0,0,7,0.917,2.75,1
815721699,human,0.917,MetalFortressCT,brand,1.0,3,7,0.917,2.76,1
815737509,human,0.917,viperblood77,brand,1.0,3,7,0.917,2.77,1
815720070,human,0.917,CyberneticPym,brand,0.6523,0,7,0.917,2.8,1
815724527,human,0.917,vote41dbro,brand,1.0,0,7,0.917,2.8,1
815721239,human,0.917,RedLineCommuter,brand,0.3551,0,7,0.917,2.83,1
815737618,human,0.917,theunitedmanc,brand,1.0,3,7,0.917,2.83,1
815723600,human,0.917,AlboSwagger,brand,0.6736,0,7,0.917,2.85,1
815721625,human,0.917,LosHalepenos,brand,1.0,0,7,0.917,2.86,1
815725173,human,0.917,powderballcp,brand,1.0,0,7,0.917,2.87,1
815727046,human,0.917,DiamondDawit,brand,0.672,0,7,0.917,2.87,1
815739022,human,0.917,TonyIguana69,brand,0.6432,0,7,0.917,2.88,0
815725330,human,0.917,nuki_shitposts,brand,0.6446,3,7,0.917,2.89,1
815736962,human,0.917,goatsworthy,brand,0.3571,0,7,0.917,2.89,1
815729137,human,0.917,VerseUniverse,brand,0.6688,0,7,0.917,2.91,1
815730820,human,0.917,destiny_weaver,brand,0.3456,3,7,0.917,2.92,1
815726528,human,0.917,vaetasMKTG,brand,1.0,0,7,0.917,2.94,0
815732814,human,0.917,BigBlackDonaghy,brand,1.0,0,7,0.917,2.96,1
815720454,human,0.917,BrandsKingdom,brand,1.0,0,7,0.917,2.97,1
815734931,human,0.917,PharmSpc,brand,1.0,0,7,0.917,2.99,1
815726216,human,0.917,SaleSafari,brand,1.0,3,7,0.917,3.0,1
815737925,human,0.917,5SOSHotelReport,brand,1.0,3,7,0.917,3.01,1
815724209,human,0.917,brewerpackaging,brand,1.0,0,7,0.917,3.05,1
815733649,human,0.917,dronesweetie,brand,1.0,0,7,0.917,3.05,0
815739318,human,0.917,GBISummerSchool,brand,1.0,0,7,0.917,3.05,1
815722602,human,0.917,SteinbeckCenter,brand,1.0,1,7,0.917,3.06,0
815733096,human,0.917,sypijeleje,brand,0.6583,0,7,0.917,3.08,1
815736675,human,0.917,SHSComplimnts,brand,1.0,3,7,0.917,3.12,1
815733166,human,0.917,tpmquiz,brand,1.0,0,7,0.917,3.15,1
815739536,human,0.917,OrionsBlack,brand,0.6744,0,7,0.917,3.18,1
815731539,human,0.917,dks2_ebooks,brand,1.0,0,7,0.917,3.2,1
815725486,human,0.917,c0l5hy69,brand,0.6678,1,7,0.917,3.36,1
815735292,human,0.917,19jim47,brand,0.6665,3,7,0.917,3.36,1
815720927,human,0.917,GalaxyRemix922,brand,0.6708,3,7,0.917,3.49,0
815725447,human,0.917,Zinxii_FFA,brand,0.3497,3,7,0.917,3.63,1
815733577,human,0.917,weeddream420,brand,1.0,3,7,0.917,3.83,1
815721398,human,0.917,348255gbabies,brand,0.6597,3,7,0.917,4.96,0
815723329,human,0.957,SketchMasterMJH,brand,0.6659,3,8,0.957,1.24,1
815720241,human,0.957,kubidyza,brand,1.0,3,8,0.957,1.25,0
815739377,human,0.957,BarbasolShave,brand,1.0,3,8,0.957,1.33,1
815737554,human,0.957,przemusiowa,brand,0.6461,3,8,0.957,1.36,1
815722828,human,0.957,JKE_G,brand,0.6769,3,8,0.957,1.39,1
815727388,human,0.957,mojo_YOjo,brand,0.6368,3,8,0.957,1.4,1
815736461,human,0.957,whoaskedyoushit,brand,0.648,3,8,0.957,1.4,1
815738253,human,0.957,cashset_Lae,brand,1.0,3,8,0.957,1.41,1
815729321,human,0.957,nobrightside,brand,0.6566,3,8,0.957,1.44,1
815729201,human,0.957,KazJester,brand,0.6591,3,8,0.957,1.45,1
815733174,human,0.957,daddy_unchained,brand,0.3303,3,8,0.957,1.46,1
815732012,human,0.957,kenziesachen,brand,0.3361,3,8,0.957,1.51,1
815721529,human,0.957,GrizzleBF,brand,1.0,3,8,0.957,1.54,1
815731688,human,0.957,MBieber_Smith,brand,0.6627,3,8,0.957,1.55,1
815722730,human,0.957,naegisnaegi,brand,0.6618,3,8,0.957,1.56,1
815722137,human,0.957,Cekeshe,brand,0.6789,3,8,0.957,1.61,1
815728924,human,0.957,lawyerinbeta,brand,0.6534,3,8,0.957,1.63,1
815729965,human,0.957,BriMercedes,brand,0.6792,3,8,0.957,1.63,1
815724741,human,0.957,daejones,brand,0.6736,3,8,0.957,1.64,1
815733644,human,0.957,byZayys,brand,1.0,3,8,0.957,1.65,1
815724692,human,0.957,_wonderfrankie,brand,1.0,3,8,0.957,1.8,0
815726503,human,0.957,Gargamelkiller,brand,0.6667,3,8,0.957,1.81,1
815728023,human,0.957,lowkeylwt_,brand,0.3595,3,8,0.957,1.82,1
815723593,human,0.957,spazil,brand,0.6707,3,8,0.957,1.84,1
815732415,human,0.957,viria13,brand,0.6543,3,8,0.957,1.84,1
815723206,human,0.957,ChayseFox,brand,0.6577,3,8,0.957,1.85,1
815738412,human,0.957,iAxX23,brand,0.6504,3,8,0.957,1.86,1
815739402,human,0.957,KINGPOM_FUCKYOU,brand,0.6661,3,8,0.957,1.87,1
815737303,human,0.957,TheOnlyAhmed,brand,0.6751,3,8,0.957,1.91,1
815719591,human,0.957,sufurkater,brand,0.6818,3,8,0.957,1.92,0
815726256,human,0.957,ltmcdies,brand,1.0,3,8,0.957,1.95,1
815739580,human,0.957,BabiesGunsJesus,brand,0.6354,3,8,0.957,1.96,1
815736344,human,0.957,ClarityDaily,brand,0.6457,3,8,0.957,1.98,0
815739540,human,0.957,KuKu_EmmaW_fan,brand,0.3418,3,8,0.957,2.0,1
815719400,human,0.957,WarOnTheRocks,brand,1.0,3,8,0.957,2.01,1
815731152,human,0.957,OverDriveLibs,brand,1.0,3,8,0.957,2.02,1
815734342,human,0.957,dadadaily,brand,0.6534,3,8,0.957,2.02,1
815734350,human,0.957,pumpkin_horse,brand,0.6502,3,8,0.957,2.02,1
815722160,human,0.957,sigmacoder,brand,0.6497,0,8,0.957,2.03,1
815729653,human,0.957,ljgrover22,brand,1.0,0,8,0.957,2.04,1
815738130,human,0.957,2faceh,brand,0.6296,3,8,0.957,2.05,1
815723056,human,0.957,byediva,brand,0.6602,3,8,0.957,2.06,1
815729588,human,0.957,luciboo80,brand,0.347,3,8,0.957,2.06,1
815731047,human,0.957,Taz_Cat1,brand,0.6551,3,8,0.957,2.06,0
815735687,human,0.957,CyborgScreams,brand,0.6768,3,8,0.957,2.06,0
815736240,human,0.957,owldom,brand,0.6556,3,8,0.957,2.06,1
815729846,human,0.957,peartonjohnson,brand,0.3375,1,8,0.957,2.09,0
815729780,human,0.957,itsterrio_hoe,brand,0.6704,3,8,0.957,2.1,1
815737967,human,0.957,ACHoang32,brand,1.0,3,8,0.957,2.1,1
815737960,human,0.957,CoolTrainrJulio,brand,0.6562,3,8,0.957,2.13,1
815727267,human,0.957,bobcatarts,brand,0.6574,3,8,0.957,2.14,1
815728098,human,0.957,Hollyoakslover3,brand,0.6674,3,8,0.957,2.16,1
815722995,human,0.957,C_S__,brand,0.6613,3,8,0.957,2.18,1
815725645,human,0.957,SMACKHighNY,brand,0.678,3,8,0.957,2.19,1
815723235,human,0.957,THE_HOEOLOGIST,brand,0.6545,3,8,0.957,2.2,0
815725754,human,0.957,K1LLz_,brand,0.369,3,8,0.957,2.2,1
815737867,human,0.957,bones_six7,brand,0.6598,3,8,0.957,2.23,1
815738576,human,0.957,JbSleaz,brand,1.0,3,8,0.957,2.23,1
815727479,human,0.957,_MyDemons__,brand,1.0,3,8,0.957,2.24,1
815730979,human,0.957,rudetellzLBC,brand,0.6864,1,8,0.957,2.24,0
815726539,human,0.957,BI_Europe,brand,1.0,1,8,0.957,2.25,0
815734999,human,0.957,Nuevomedio,brand,1.0,3,8,0.957,2.27,1
815720346,human,0.957,HogwartsCitou,brand,0.6768,3,8,0.957,2.3,1
815737613,human,0.957,cnorton128,brand,0.6802,3,8,0.957,2.3,0
815727895,human,0.957,_Turntway,brand,0.6589,0,8,0.957,2.32,1
815727299,human,0.957,BIRP,brand,0.6739,3,8,0.957,2.33,1
815726071,human,0.957,Freudianslipz,brand,0.6761,3,8,0.957,2.34,0
815735283,human,0.957,TruthBToldDe,brand,0.647,3,8,0.957,2.34,1
815730562,human,0.957,LakeHastingsWea,brand,1.0,3,8,0.957,2.36,0
815730262,human,0.957,Kyuugayaku,brand,0.6685,3,8,0.957,2.39,1
815723117,human,0.957,GQMagazine,brand,1.0,1,8,0.957,2.4,0
815734564,human,0.957,bosunescobar,brand,0.3376,3,8,0.957,2.41,0
815723594,human,0.957,ranveersbabe,brand,0.3404,3,8,0.957,2.42,0
815724955,human,0.957,TheEscapistMag,brand,1.0,1,8,0.957,2.42,1
815719997,human,0.957,AudreyEnjoyLife,brand,0.6655,3,8,0.957,2.43,1
815720508,human,0.957,kgon,brand,1.0,0,8,0.957,2.43,1
815731390,human,0.957,jaklumen,brand,0.6697,3,8,0.957,2.45,1
815737004,human,0.957,Milena_mico,brand,0.3423,1,8,0.957,2.46,1
815724385,human,0.957,afscot,brand,0.6619,3,8,0.957,2.48,1
815733227,human,0.957,FreelanceWJ,brand,1.0,0,8,0.957,2.48,0
815736351,human,0.957,robotic_icon,brand,0.6656,1,8,0.957,2.51,0
815727109,human,0.957,loookapanda,brand,0.6705,0,8,0.957,2.52,1
815727669,human,0.957,_shunsou,brand,0.6707,3,8,0.957,2.58,1
815722929,human,0.957,fosteravepro,brand,0.6642,3,8,0.957,2.59,1
815720445,human,0.957,LittleMix,brand,0.6623,3,8,0.957,2.65,1
815723037,human,0.957,My1Universe,brand,1.0,3,8,0.957,2.65,1
815726408,human,0.957,Legna989,brand,0.6587,3,8,0.957,2.68,0
815730496,human,0.957,kneedough,brand,0.6666,1,8,0.957,2.72,1
815720271,human,0.957,Dragon_Ball_S_,brand,1.0,1,8,0.957,2.76,0
815731148,human,0.957,timc4567,brand,0.3411,3,8,0.957,2.89,0
815732407,human,0.957,IUParking,brand,1.0,0,8,0.957,2.91,1
815733835,human,0.957,bcfc_fans_fc,brand,1.0,3,8,0.957,3.03,1
815732828,human,0.957,AnimalWorIds,brand,0.6501,0,8,0.957,3.05,1
815726875,human,0.957,noquestions,brand,0.6777,1,8,0.957,3.2,1
